Word,Time_s,F0_Hz
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,2.031902,240.482957
great,2.037074,238.542611
great,2.042247,221.918827
great,2.047419,200.739195
great,2.052592,187.225594
great,2.057764,187.854559
great,2.062937,185.680611
great,2.068109,184.462408
great,2.073281,181.559529
great,2.078454,179.246877
great,2.083626,175.940632
great,2.088799,173.317405
great,2.093971,171.847015
great,2.099143,171.012283
great,2.104316,169.259179
great,2.109488,166.729468
great,2.114661,166.767549
great,2.119833,165.886063
great,2.125005,167.446178
great,2.130178,162.891321
great,2.13535,155.33318
great,2.140523,157.093562
great,2.145695,162.347376
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,2.161212,265.692723
great,2.166385,256.10685
great,2.171557,249.992044
great,2.17673,263.269425
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,2.207764,181.250762
great,2.212937,180.80305
great,2.218109,173.627169
great,2.223281,173.434158
great,2.228454,172.003896
great,2.233626,182.501293
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
