Word,Time_s,Intensity_dB
look,1.932417,56.560398
look,1.937934,53.149741
look,1.943451,51.388078
look,1.948969,50.98902
look,1.954486,51.37321
look,1.960003,52.443134
look,1.96552,53.091347
look,1.971038,52.234021
look,1.976555,51.091396
look,1.982072,51.093811
great,1.987589,50.091282
great,1.993107,50.348698
great,1.998624,53.252554
great,2.004141,54.559474
great,2.009658,54.033821
great,2.015176,53.499794
great,2.020693,53.128336
great,2.02621,53.686291
great,2.031727,59.861216
great,2.037245,65.644283
great,2.042762,68.531582
great,2.048279,69.233331
great,2.053796,69.787709
great,2.059313,70.843178
great,2.064831,71.54176
great,2.070348,71.851991
great,2.075865,71.639789
great,2.081382,70.863288
great,2.0869,70.008192
great,2.092417,69.358012
great,2.097934,68.670938
great,2.103451,67.743265
great,2.108969,66.889605
great,2.114486,66.501473
great,2.120003,66.456179
great,2.12552,66.427561
great,2.131038,66.250375
great,2.136555,66.334447
great,2.142072,66.711448
great,2.147589,65.978563
great,2.153107,64.854612
great,2.158624,65.223923
great,2.164141,65.704429
great,2.169658,65.061711
great,2.175176,63.226742
great,2.180693,61.722881
great,2.18621,62.079967
great,2.191727,62.545447
great,2.197245,61.927141
great,2.202762,61.057674
great,2.208279,60.521662
great,2.213796,58.922873
great,2.219313,58.71182
great,2.224831,60.474537
great,2.230348,61.051527
great,2.235865,60.054812
great,2.241382,58.506424
great,2.2469,58.473797
great,2.252417,58.174029
great,2.257934,57.755998
great,2.263451,56.241862
great,2.268969,53.330875
great,2.274486,52.235123
great,2.280003,52.58974
great,2.28552,51.298334
great,2.291038,49.206551
great,2.296555,50.147441
great,2.302072,50.713874
great,2.307589,49.009811
great,2.313107,47.154544
great,2.318624,45.862568
great,2.324141,44.916936
great,2.329658,46.864571
great,2.335176,48.241606
great,2.340693,47.36053
great,2.34621,49.699652
great,2.351727,55.81374
great,2.357245,61.459728
great,2.362762,65.794643
great,2.368279,68.221819
great,2.373796,68.545382
great,2.379313,67.021422
great,2.384831,64.394816
great,2.390348,62.333337
great,2.395865,61.843178
great,2.401382,61.215234
great,2.4069,59.630599
great,2.412417,58.050281
great,2.417934,57.369913
great,2.423451,56.645766
great,2.428969,55.199856
great,2.434486,53.872249
great,2.440003,52.489321
great,2.44552,52.267535
great,2.451038,53.059223
great,2.456555,53.073732
great,2.462072,52.284864
great,2.467589,51.914801
